# TODO: Alphebatize this entire list.. yeah. good luck. But it matters.

#####################
# Special Countries #
#####################

IN2 = "countries/Insubri.txt"
CE2 = "countries/Cenomani.txt"
LI2 = "countries/Lingoni.txt"
SE2 = "countries/Senoni.txt"
CR2 = "countries/Carni.txt"
CA2 = "countries/Camuni.txt"
VE2 = "countries/Veneti.txt"
RE2 = "countries/Reti.txt"
VZ2 = "countries/Vedianzi.txt"
IT2 = "countries/Intemeli.txt"
IG2 = "countries/Ingauni.txt"
SZ2 = "countries/Sabazi.txt"
GE2 = "countries/Genuati.txt"
TI2 = "countries/Tiguli.txt"
AP2 = "countries/Apuani.txt"
VT2 = "countries/Veturii.txt"
VL2 = "countries/Veleiati.txt"
FR2 = "countries/Friniati.txt"
VNT = "countries/Venetia.txt"
VEN = "countries/VenetiInsulae.txt"
VOL = "countries/Volsci.txt"
IMS = "countries/MarsiItalia.txt"
IAU = "countries/Aurunci.txt"
ISM = "countries/Samnium.txt"
FRE = "countries/Frentani.txt"
IPA = "countries/Paeligni.txt"
VES = "countries/Vestini.txt"
HIR = "countries/Hirpini.txt"
CAU = "countries/Caudini.txt"
#new Italy
I01 = "countries/Caisra.txt"
I02 = "countries/Clevsin.txt"
I03 = "countries/Curtun.txt"
I04 = "countries/Vetluna.txt"
I05 = "countries/Volterra.txt"
I06 = "countries/Atria.txt"
I07 = "countries/Felsna.txt"
I08 = "countries/Spina.txt"
I09 = "countries/Parmna.txt"
I10 = "countries/Mutina.txt"
I11 = "countries/Manthva.txt"
I12 = "countries/Camerini.txt"
I13 = "countries/Aequi.txt"
I14 = "countries/Hernici.txt"
I15 = "countries/Caraceni.txt"
I16 = "countries/Velia.txt"
I17 = "countries/BoiiCisalpini.txt"
I18 = "countries/BoiiPannoni.txt"
I19 = "countries/Euganei.txt"
I21 = "countries/Nuvla.txt"
I22 = "countries/Cumae.txt"
I23 = "countries/Falerii.txt"

####################
# Latium Countries #
####################

LAT	= "countries/Latium.txt"
BOV = "countries/Bovillae.txt"
TUS = "countries/Tusculum.txt"
STR = "countries/Satricum.txt"
CIR = "countries/Circeii.txt"
VEL = "countries/Velitrae.txt"
PRE = "countries/Praeneste.txt"
GAB = "countries/Gabii.txt"
FID = "countries/Fidenae.txt"
NOM = "countries/Nomentum.txt"
LAV = "countries/Lavinium.txt"
ARD = "countries/Ardea.txt"
NRB = "countries/Norba.txt"

#############################
# North African Countries	#
#############################

CAR	= "countries/Carthage.txt"
GDR	= "countries/Gadir.txt"
MLA	= "countries/Malaha.txt"
UTI	= "countries/Utica.txt"
UBO	= "countries/Ubon.txt"
CRT	= "countries/Cartenna.txt"
TCC	= "countries/Tacape.txt"
THA	= "countries/Thapsus.txt"
TNE	= "countries/Tunes.txt"
HAD	= "countries/Hadrumetum.txt"
CAK = "countries/Takapi.txt"
AST = "countries/Shabratan.txt"
IDY = "countries/Meninx.txt"
SKY	= "countries/Lpqy.txt"
GAR	= "countries/Garamantum.txt"
NAS	= "countries/Nasamones.txt"
TRP	= "countries/Tripolitana.txt"
EMC	= "countries/Macomedes.txt"
ISC	= "countries/Iscina.txt"
MLE	= "countries/Malet.txt"
LYB	= "countries/Lybia.txt"
MSW	= "countries/Meshwesh.txt"
KYR = "countries/Kyrene.txt"
BRK = "countries/Barke.txt"
PTO = "countries/PtolemaicKingdom.txt"
TRK	= "countries/Triakontaschoinos.txt"
EGY	= "countries/Egypt.txt"
NAU	= "countries/Naukratis.txt"
THB	= "countries/Thebai.txt"
MYL = "countries/Massylii.txt"
GAT = "countries/Getulia.txt"
MAA = "countries/Masaesyli.txt"
MEM = "countries/Memphis.txt"
AUT = "countries/Autololes.txt"
AZU = "countries/Arzuges.txt"
ASR = "countries/Astrices.txt"
MTA = "countries/Metagonia.txt"
BCU = "countries/Bacuatia.txt"
MAE = "countries/Maeanitia.txt"
HRP = "countries/Herpeditania.txt"
BNI = "countries/Baniuria.txt"
BAG = "countries/Bagigaetulia.txt"
SLT = "countries/Salathia.txt"
SLI = "countries/Musulamii.txt"
MRT = "countries/Mauretania.txt"
NUM = "countries/Numidia.txt"
PAL = "countries/Palma.txt"
NUR = "countries/Nura.txt"
DM7 = "countries/Tyngi.txt"
DU6 = "countries/Ryshader.txt"

#################################
# Sub-Saharan African Countries	#
#################################

DRD = "countries/Daradae.txt"
AWK = "countries/Awkar.txt"
DJN = "countries/Djenne.txt"
WAG = "countries/Gyaaman.txt"
HSA = "countries/Hausa.txt"
IDG = "countries/Igodomigodo.txt"
NOK = "countries/Nok.txt"
SSO = "countries/Soso.txt"
WGD = "countries/Wagadu.txt"
ETH = "countries/Aethiopia.txt"
MER = "countries/Meroe.txt"
KUS = "countries/Kusch.txt"
AXU = "countries/Axum.txt"
SNN = "countries/Sannar.txt"
KAS = "countries/Kassala.txt"
GON = "countries/Gonder.txt"
BLE = "countries/Blemmyes.txt"
DAA = "countries/Daamot.txt"
AVE = "countries/Avalites.txt"
MAL = "countries/Malao.txt"
MUN = "countries/Mundus.txt"
MOS = "countries/Mosylon.txt"
ATT = "countries/Attiroi.txt"
API = "countries/Apiroi.txt"
ATA = "countries/Atabuli.txt"
MGA = "countries/Megabari.txt"
BAN = "countries/Bangeni.txt"
ARO = "countries/Aroteres.txt"
SKI = "countries/Skiapodes.txt"
AKI = "countries/Akridophagoi.txt"
BYL = "countries/Babyllinioi.txt"
MEL = "countries/Melanokhrotoi.txt"
OPO = "countries/Opone.txt"
SAD = "countries/SarapionosDromos.txt"
NKO = "countries/Nikon.txt"
TRO = "countries/Troglodytae.txt"
AGS = "countries/Agisymba.txt"
ZAN = "countries/Zankor.txt"
CYE = "countries/Cyeneum.txt"
PYG = "countries/Pygmaioi.txt"
XYL = "countries/Xylinces.txt"
ODG = "countries/Odrangidi.txt"
ATC = "countries/Astacuri.txt"
AFS = "countries/Afsaracae.txt"
RHY = "countries/Rhypaei.txt"
PYR = "countries/Pyrrhaei.txt"
TLT = "countries/Tralitae.txt"
CUA = "countries/Chuaritae.txt"

####################
# Greece Countries #
####################

APG = "countries/Archipelagos.txt"
UNI = "countries/United Islands.txt"
HEL	= "countries/Hellas.txt"
ATH	= "countries/Athen.txt"
COR	= "countries/Corinth.txt"
ARG	= "countries/Argos.txt"
MEG	= "countries/Megaris.txt"
EPD	= "countries/Epidauros.txt"
LAC	= "countries/Laconia.txt"
SP1	= "countries/Sparta.txt"
ARC	= "countries/Arcadia.txt"
MEP	= "countries/Megalopolis.txt"
TEG	= "countries/Tegea.txt"
PSO	= "countries/Psophis.txt"
MNT	= "countries/Mantineia.txt"
MES	= "countries/Messenia.txt"
ELI	= "countries/Elis.txt"
ACH	= "countries/AchaeanLeague.txt"
AIG	= "countries/Aigion.txt"
PAT	= "countries/Pellene.txt"
DYM	= "countries/Dyme.txt"
SN1	= "countries/Sicyon.txt"
PPP = "countries/Propontis.txt"
AEO = "countries/Aeolia.txt"
CCI = "countries/Olynthia.txt"
BOE	= "countries/Boeotia.txt"
THH	= "countries/Thebae.txt"
EUB	= "countries/Euboea.txt"
DAL	= "countries/Daulis.txt"
AET	= "countries/Aetolia.txt"
ELA	= "countries/Elateia.txt"
THL	= "countries/Thessalia.txt"
COC	= "countries/Corcyra.txt"
CYC	= "countries/Cyclades.txt"
THS	= "countries/Thasus.txt"
KEP	= "countries/Kephallenia.txt"
ISS	= "countries/Issa.txt"
MAC	= "countries/Macedonia.txt"
SES	= "countries/Sestos.txt"
KRD	= "countries/Kardia.txt"
ABD = "countries/Abdera.txt"
EPI	= "countries/Epirus.txt"
MOL	= "countries/Molossians.txt"
THP	= "countries/Thesprotians.txt"
CHC	= "countries/Chaonians.txt"
AMC	= "countries/Ambrakia.txt"
PRI	= "countries/Perinthos.txt"
BYS	= "countries/Byzantium.txt"
LYT	= "countries/Lyttos.txt"
LNK = "countries/Lynkestis.txt"
KRS = "countries/Krestonia.txt"
PHT = "countries/Phtiotis.txt"
TES = "countries/Thessaliotis.txt"
PLG = "countries/Perrhaebia.txt"
DLP = "countries/Dolopia.txt"
MGN = "countries/Magnesia.txt"
PHE = "countries/Pherae.txt"
HES = "countries/Hestieotis.txt"
ELM = "countries/Elimeia.txt"
ORE = "countries/Orestia.txt"
EOR = "countries/Eordaia.txt"
ALM = "countries/Almopia.txt"
BSL = "countries/Bisaltia.txt"
MGD = "countries/Mygdonia.txt"
PIE = "countries/Pieria.txt"
CHL = "countries/Chalkidiki.txt"
AMF = "countries/Amfiopolis.txt"
PHC = "countries/Phocis.txt"
DPH = "countries/Delphi.txt"
LCS = "countries/Locris.txt"
AIN = "countries/Aeniania.txt"
ACR = "countries/Acarnania.txt"
ORC = "countries/Orchomenus.txt"
TSP = "countries/Thespiae.txt"
TNG = "countries/Tanagra.txt"
CLK = "countries/Chalkis.txt"
ERT = "countries/Eretria.txt"
CST = "countries/Carystus.txt"
IOU = "countries/Ioulis.txt"
ADR = "countries/Andros.txt"
DEL = "countries/Delos.txt"
NXS = "countries/Naxos.txt"
PAR = "countries/Paros.txt"
ML2 = "countries/Melos.txt"
SMT = "countries/Samothrace.txt"
HPS = "countries/Hephaistia.txt"
PLS = "countries/Pelasges.txt"
AEG = "countries/Aegina.txt"
KSS = "countries/Kos.txt"
OLN = "countries/Olynthus.txt"
STG = "countries/Stagirus.txt"
ARU = "countries/Argilos.txt"
ATS = "countries/Akanthos.txt"
BTT = "countries/Bottike.txt"
BCR = "countries/Krounoi.txt"
BCC = "countries/Callatis.txt"
BCK = "countries/Kerkintis.txt"
BCS = "countries/Kremniskoi.txt"
BCP = "countries/Psoa.txt"
BCA = "countries/Apollonia Pontike.txt"
BCM = "countries/Mesembria.txt"
MRN = "countries/Maroneia.txt"
TGR = "countries/Tanahra.txt"
SLB = "countries/Selymbria.txt"
KIO = "countries/Kios.txt"
AS3 = "countries/Astakos.txt"
TRS = "countries/Troizen.txt"
KLU = "countries/Kaulonia.txt"
GLC = "countries/Gela.txt"
PHS = "countries/Phaselis.txt"
TEO = "countries/Teos.txt"
SIE = "countries/Sigeion.txt"
ABY = "countries/Abydos.txt"
PR2 = "countries/Priene.txt"
AD2 = "countries/Adramyttion.txt"
NE1 = "countries/Parauaia.txt"
NE2 = "countries/Atamania.txt"
OR2 = "countries/Orchomenos.txt"
STF = "countries/Stymphalos.txt"
LPR = "countries/Lepreos.txt"
PA2 = "countries/Patrai.txt"
MTH = "countries/Mantinea.txt"
PA3 = "countries/Parthini.txt"
ANK = "countries/Anakterion.txt"
HRA = "countries/Heraia.txt"
ORR = "countries/Oreos.txt"
MGT = "countries/Morgantia.txt"
SGT = "countries/Segesta.txt"
SLN = "countries/Selinunt.txt"
MGH = "countries/MegaraHybleia.txt"
LTI = "countries/Leontini.txt"
KTN = "countries/Katana.txt"
LRR = "countries/Lipara.txt"
DIO = "countries/Dioscurias.txt"
ZAT = "countries/Zakantha.txt"
HOM = "countries/Homeroscopeion.txt"
TRN = "countries/Torone.txt"
MDE = "countries/Mende.txt"
TME = "countries/Thermae.txt"
TMH = "countries/Tymphaia.txt"
MTN = "countries/Methone.txt"
PLN = "countries/Pelagonia.txt"
POE = "countries/Paeonia.txt"
LCO = "countries/LocrisOpuntian.txt"
DOS = "countries/Doris.txt"
AMH = "countries/Amphissa.txt"

#Cimmerian Bosporus
BOS	= "countries/BosporanKingdom.txt"
PNK	= "countries/Pantikapaion.txt"
NYM	= "countries/Nymphaion.txt"
BTC	= "countries/Bata.txt"
MYR	= "countries/Myrmekion.txt"
THD	= "countries/Theodosia.txt"
CES	= "countries/Chersonesus.txt"
KLL	= "countries/KalosLimen.txt"
HRM	= "countries/Hermonassa.txt"
PHN	= "countries/Phanagoria.txt"
PIT	= "countries/Pityus.txt"
TUI	= "countries/Tauri.txt"

#Cyclades
TER = "countries/Thera.txt"
LKT = "countries/Lyktos.txt"
KAR	= "countries/Karpathos.txt"
CHS	= "countries/Chios.txt"
SAM	= "countries/Samos.txt"

#Crete
PRA	= "countries/Praisos.txt"
POL	= "countries/Polyrrhenia.txt"
GOR	= "countries/Gortyn.txt"
KNO	= "countries/Knossos.txt"
HIE	= "countries/Hierapytna.txt"
RHI = "countries/Rhithymna.txt"
OLU = "countries/Olous.txt"
ITS = "countries/Itanos.txt"
PR1 = "countries/Priansos.txt"
KRT	= "countries/Krete.txt"
MNO = "countries/Minoa.txt"

#Rhodos
RHO	= "countries/Rhodos.txt"
IAL	= "countries/Ialysos.txt"
LIN	= "countries/Lindos.txt"
KME	= "countries/Kameiros.txt"
MOO = "countries/Monolithos.txt"

#Lesbos
LES	= "countries/Lesbos.txt"
LB1 = "countries/Mytillene.txt"
LB4 = "countries/Methymna.txt"

#Ionia
ION	= "countries/Ionia.txt"
PER	= "countries/Pergamon.txt"
LAM	= "countries/Lampsakos.txt"
ANT	= "countries/Antandros.txt"
KLA	= "countries/Klazomenai.txt"
EPH	= "countries/Ephesos.txt"
MLT	= "countries/Milet.txt"
KYZ	= "countries/Kyzikos.txt"
RHH	= "countries/Rhoiteion.txt"
KYM	= "countries/Kyme.txt"
ERR	= "countries/Erythrai.txt"
HAL	= "countries/Halikarnassos.txt"
KNI	= "countries/Knidos.txt"
PRG	= "countries/Perge.txt"
MLL	= "countries/Mallos.txt"
SMY = "countries/Smyrna.txt"

#Pontus
HEP	= "countries/HeracleaPontica.txt"
PHA	= "countries/Phasis.txt"
TRA	= "countries/Trapezous.txt"
TOM	= "countries/Tomoi.txt"
NKK = "countries/Nikonion.txt"
OLB = "countries/Olbia.txt"
IST = "countries/Istros.txt"
TYR = "countries/Tyras.txt"
ORD = "countries/Ordesus.txt"
KHA = "countries/Chalcedon.txt"
SNP = "countries/Sinope.txt"
AMX = "countries/Amisos.txt"

#Cyprus
ZYP	= "countries/Zypern.txt"
ZY1	= "countries/Amathous.txt"
ZY2	= "countries/Kition.txt"
ZY3	= "countries/Lapithos.txt"
ZY4	= "countries/Paphos.txt"
ZY5	= "countries/Salamis.txt"
ZY6	= "countries/Soloi.txt"
ZY7	= "countries/Tamassos.txt"
ZY8 = "countries/Idalion.txt"
ZY9 = "countries/Kythrea.txt"

#Diadochi
SEL	= "countries/SeleucidEmpire.txt"
ANE	= "countries/AntigonidEmpire.txt"
DEC	= "countries/Decapolis.txt"
ALI = "countries/AlexanderEmpire.txt"
DX1 = "countries/Polyperchon.txt"
KSD = "countries/Kassander.txt"
ND1 = "countries/Leonnatos.txt"
ND2 = "countries/Kraterus.txt"
ND3 = "countries/Asandros.txt"
ND4 = "countries/Laomedon.txt"
ND5 = "countries/Arcesilaus.txt"
ND6 = "countries/Philotas.txt"
ND7 = "countries/Menander.txt"
ND8 = "countries/Antigenes.txt"
ND9 = "countries/Pithon.txt"
FD1 = "countries/Peucestas.txt"
FD2 = "countries/Stasanor.txt"
FD3 = "countries/Tlepolemus.txt"
FD4 = "countries/Sibiritius.txt"
FD5 = "countries/Peithon.txt"
FD6 = "countries/Eudemus.txt"
FD9 = "countries/Lysimachid Kingdom.txt"

#########################
# Balkan Countries		#
#########################

THR	= "countries/Thracia.txt"
DAC	= "countries/Dacia.txt"
ODR	= "countries/Odrysia.txt"
EDO	= "countries/Edonoi.txt"
BSS	= "countries/Bessi.txt"
THY	= "countries/Thyni.txt"
TYL	= "countries/Tylis.txt"
DOB	= "countries/Doberes.txt"
ODO	= "countries/Odomanti.txt"
DRR	= "countries/Derrones.txt"
AGR	= "countries/Agrianes.txt"
TRL	= "countries/Triballi.txt"
MOE	= "countries/Moesi.txt"
NIP	= "countries/Nipsai.txt"
DT1 = "countries/Dardania.txt"
DT2 = "countries/Triboci.txt"
DT3 = "countries/Segusiavi.txt"
DT4 = "countries/Dassaretae.txt"
DT5 = "countries/Dentheletae.txt"
DT6 = "countries/Brygii.txt"
TT1 = "countries/Cicones.txt"
TT2 = "countries/Bistones.txt"
TT3 = "countries/Sapaeoi.txt"
TT4 = "countries/Apsynthoi.txt"
TT6 = "countries/Tranipsai.txt"
TT7 = "countries/Krobyzoi.txt"
PT2 = "countries/Laeleans.txt"
TT8 = "countries/Maedi.txt"
TT9 = "countries/Paitoi.txt"
HT9 = "countries/Haemosia.txt"
AS2 = "countries/Asti.txt"
CN2 = "countries/Caeni.txt"
SED = "countries/Serdi.txt"

#Dacia-Getae
GET	= "countries/Getae.txt"
PTU	= "countries/Potulatense.txt"
ALC	= "countries/Albocense.txt"
BRD	= "countries/Buredeense.txt"
RTA	= "countries/Ratacenses.txt"
SRR	= "countries/Serri.txt"
AGF = "countries/Agaphirsi.txt"
TYG = "countries/Tyragetae.txt"
TE1 = "countries/Teurisci.txt"
TGI = "countries/Tagri.txt"
ANS = "countries/Ansamenses.txt"
APL = "countries/Apuli.txt"
BPH = "countries/Bielphi.txt"
CAC = "countries/Caucoenses.txt"
CA3 = "countries/Carpi.txt"
CS2 = "countries/Costoboci.txt"
COT = "countries/Cotini.txt"
OSI = "countries/Osi.txt"
ANR = "countries/Anarti.txt"
SC1 = "countries/Scordisci.txt"
AR2 = "countries/Arabiates.txt"
ERA = "countries/Eravisci.txt"
POR = "countries/Porolissenses.txt"
CLG = "countries/Celegeri.txt"
DND = "countries/Dindari.txt"

#Illyria
ILY = "countries/Illyria.txt"
PNN = "countries/Pannonii.txt"
HI1 = "countries/Histri.txt"
IA1 = "countries/Iapodes.txt"
LE1 = "countries/Letobici.txt"
DE1 = "countries/Delmatae.txt"
DI1 = "countries/Ditiones.txt"
LI1 = "countries/Liburni.txt"
PL1 = "countries/Pleraei.txt"
AR1 = "countries/Ardiaei.txt"
AB1 = "countries/Abri.txt"
CA1 = "countries/Cavii.txt"
TL1 = "countries/Taulanti.txt"
AM1 = "countries/Amantes.txt"
EN1 = "countries/Encheleans.txt"
LA1 = "countries/Labaetae.txt"
DA1 = "countries/Daorsi.txt"
BR1 = "countries/Breuci.txt"
AN1 = "countries/Andizetes.txt"
IS1 = "countries/Iasi.txt"
GL1 = "countries/Glinditiones.txt"
SE3 = "countries/Serretes.txt"
AP1 = "countries/Apollonia.txt"
EPM = "countries/Epidamnos.txt"
PAO = "countries/Pharos.txt"

#########################
# Anatolian Countries	#
#########################

CRI	= "countries/Caria.txt"
LYC	= "countries/Lycia.txt"
LYD	= "countries/Lydia.txt"
GAL	= "countries/Galatia.txt"
PHR	= "countries/Phrygia.txt"
BIT	= "countries/Bithynia.txt"
MRY	= "countries/Mariandynia.txt"
KIL	= "countries/Kilikia.txt"
PRH	= "countries/Pirindu.txt"
HUM	= "countries/Hume.txt"
KPP	= "countries/Kappadokia.txt"
LYA	= "countries/Lycaonia.txt"
ISU	= "countries/Isauria.txt"
MYS	= "countries/Mysia.txt"
PPH	= "countries/Paphlagonia.txt"
PON	= "countries/Pontus.txt"
CLB = "countries/Chalybes.txt"
HTT = "countries/Hittite Kingdom.txt"
PSD = "countries/Pisidia.txt"
PMH = "countries/Pamphylia.txt"
SDE = "countries/Side.txt"
KSK = "countries/Kaska.txt"
TMS = "countries/Termessos.txt"
LSY = "countries/Leukosyri.txt"
KTR = "countries/Kotyora.txt"

#####################
# South East Asia	#
#####################
FUN = "countries/Funan.txt"
CHP = "countries/Champa.txt"
LMP = "countries/LamAp.txt"
SHN = "countries/Shan.txt" #FREE TAG
AIL = "countries/Aileo.txt"
LGK = "countries/Langkasuka.txt"
KAD = "countries/Kadaram.txt" #FREE TAG
ARK = "countries/Arakan.txt" #FREE TAG

MY1 = "countries/Barus.txt"
MY2 = "countries/KanToLi.txt"
MY3 = "countries/Selinsing.txt"
MY4 = "countries/Toba.txt"
MY5 = "countries/TanTan.txt"
MY6 = "countries/Lankasuka.txt"
MY7 = "countries/Takola.txt"
MY8 = "countries/Kataha.txt"
MY9 = "countries/Yavandvipa.txt"
SVV = "countries/Suvarnadvipa.txt"

FN1 = "countries/PreahVihear.txt"
FN2 = "countries/Borei.txt"
FN3 = "countries/Chenla.txt"
FN4 = "countries/Aninditapura.txt"
FN5 = "countries/Amoghapura.txt"
FN6 = "countries/Bhimapura.txt"
FN7 = "countries/Sresthapura.txt"
FN9 = "countries/VoCanh.txt"

LV1 = "countries/Lavapura.txt"
LV2 = "countries/Pathom.txt"
LV3 = "countries/Tuk.txt"
LV5 = "countries/Chinlin.txt"
LV6 = "countries/Tunsun.txt"
LV7 = "countries/Panpan.txt"
LV8 = "countries/Tambralinga.txt"
NC1 = "countries/Rakshasa.txt"

##Orang Asli###
ON1 = "countries/Mabek.txt"
ON3 = "countries/Plus.txt"
ON5 = "countries/Sadang.txt"
ON6 = "countries/Jelai.txt"
ON8 = "countries/Lebir.txt"
ON9 = "countries/Guai.txt"
OS1 = "countries/Krau.txt"
OS2 = "countries/Bembau.txt"
OS6 = "countries/Pahat.txt"
OS7 = "countries/Simpai.txt"
OS8 = "countries/Selat.txt"

#Philippines
#Luzon
PIL = "countries/Pilia.txt"
MAY = "countries/Maynila.txt"
TAB = "countries/Tabuko.txt"
PNG = "countries/Pangasinan.txt"
#Maguindanao
MAG = "countries/Maguindanao.txt"
BOY = "countries/Baloi.txt"
DAP = "countries/Dapao.txt"
MUI = "countries/Masui.txt"
BAY = "countries/Bayabao.txt"
BUG = "countries/Bakung.txt"
#Visayas
CEB = "countries/Cebu.txt"

#Taiwan and Okinawa

RYU = "countries/Liuqiu.txt"

#Pyu States reused
SRK = "countries/SriKsetra.txt" #Mandalay - temp name
BKT = "countries/Beikthano.txt" #Mang
PYU = "countries/Pyu.txt" #Actually Pyu
PGN = "countries/Pagan.txt" #Hlai/Li
BNN = "countries/Binnnaka.txt" #Mranma/burmans
MMW = "countries/Maingmaw.txt" #Wa
HLN = "countries/Halin.txt"  #Riang
TGG = "countries/Tagaung.txt"  #Palaung
PRM = "countries/Prome.txt" #FREE TAG
INW = "countries/Inwa.txt" #Jinghpo
SYW = "countries/Sinywa.txt" #FREE TAG

#########################
# Armenia & Caucasus	#
#########################

CMM	= "countries/Commagene.txt"
ARM	= "countries/Armenia.txt"
SPH	= "countries/Sophene.txt"
CH2	= "countries/Chaldoi.txt"
MNN	= "countries/Mannea.txt"
COL	= "countries/Colchis.txt"
ARV	= "countries/Argveti.txt"
IBE	= "countries/Iberia.txt"
ALB	= "countries/Albania.txt"
LEG = "countries/Legae.txt"
URT = "countries/Urartu.txt"
GC1 = "countries/Taochi.txt"
GC2 = "countries/Sanni.txt"
GC3 = "countries/Tibareni.txt"
GC4 = "countries/Mossynoeci.txt"
GC5 = "countries/Mushki.txt"
GC6 = "countries/Macrones.txt"
GC7 = "countries/Svani.txt"
GC8 = "countries/Diduri.txt"
GC9 = "countries/Tufci.txt" #nakh too
OLD = "countries/Olondae.txt"
SXI = "countries/Geli.txt" #nakh tribe
VDN = "countries/Vdini.txt" #main tag for udi peoples
ABZ = "countries/Abasgi.txt"
AB2 = "countries/Coraxi.txt"
AB3 = "countries/Heniochi.txt"
AB4 = "countries/Zygii.txt"
AB8 = "countries/Cercetae.txt"
AB9 = "countries/Menralii.txt"
U14 = "countries/Ulliba.txt"
U15 = "countries/Shupriya.txt"
U17 = "countries/Gilzan.txt"
U18 = "countries/Kauri.txt"
U20 = "countries/Tabal.txt"
#New_caucasus
LPN = "countries/Lupenia.txt" #tribe, later state (kingdom) of lbins
SLV = "countries/Silvii.txt" #lezgic tribe, part of albanians in future
BCT = "countries/Sheki.txt" #albanian tribe
DRZ = "countries/Durdzuk.txt" #nakh state when they drowe out scythians, and before sarmatians came
TGL	= "countries/Nashkha.txt"

#########
# Syria	#
#########

ISR	= "countries/Israel.txt"
JUD	= "countries/Judah.txt"
SMR	= "countries/Samaria.txt"
EDM	= "countries/Edom.txt"
AMM	= "countries/Ammon.txt"
MOA	= "countries/Moab.txt"
PLM	= "countries/Palmyra.txt"
SYI	= "countries/Syria.txt"
PHI	= "countries/Philistia.txt"
PHO	= "countries/Phoenicia.txt"
PH1	= "countries/Ako.txt"
PH2	= "countries/Sur.txt"
PH3	= "countries/Sidun.txt"
PH4	= "countries/Byblos.txt"
PH5	= "countries/Arwad.txt"
PH6	= "countries/Berot.txt"
PH7	= "countries/Sumur.txt"
PH8	= "countries/Myriandros.txt"
LUH	= "countries/Luhuti.txt"
QAR	= "countries/Qarqemish.txt"
HAM	= "countries/Hamath.txt"
SY1	= "countries/Bit Zamani.txt"
SY2	= "countries/Bit Bahiani.txt"
SY3	= "countries/Bit Khalupe.txt"
SY4	= "countries/Suhu.txt"
SY5	= "countries/Hindanu.txt"
SY6	= "countries/Laqu.txt"
SY7	= "countries/Nasibina.txt"
SY8	= "countries/Bit Yahiri.txt"
SY9	= "countries/Bit Adini.txt"
SI1	= "countries/Surug.txt"
SI2	= "countries/Melitea-Kummani.txt"
SI3	= "countries/Bit Agusi.txt"
SI4	= "countries/Bit Gabbari.txt"
SI5	= "countries/Pattina.txt"
SI6	= "countries/Harranu.txt"
